Project ID,Certificates,Years of Experience,age,Time Arrival Strafe,Project Cost,Project Proximity,Violation Risk Index,Company PCAB Score,Weekly Overtime Hours,Salary Bracket,is_good
579541,9,6,27,-19.01,951923.0,118.1,0.24,3,2.0,2,1
156919,12,6,33,-8.82,973622.0,130.25,0.33,4,6.0,2,0
97591,11,7,31,-10.42,1054601.0,129.7,0.28,4,4.0,3,1
185419,3,3,59,6.36,115174.0,103.95,0.7,2,3.0,1,1
976339,0,4,19,2.53,123572.0,84.72,0.45,2,1.0,1,0
650869,13,7,37,-14.93,1002920.0,132.5,0.33,4,7.0,4,0
841218,10,6,29,14.46,1017925.0,127.45,0.27,4,3.0,2,1
427463,2,4,41,14.35,165439.0,115.0,0.66,2,6.0,2,0
698500,13,5,25,-11.14,1051644.0,129.48,0.26,4,5.0,2,0
87212,10,7,33,-7.56,1080646.0,129.05,0.2,4,3.0,3,1
793383,12,6,26,-10.51,993725.0,114.63,0.18,4,0.0,3,1
105737,0,3,46,2.27,173586.0,127.84,0.84,2,10.0,1,0
138224,0,4,21,4.73,116883.0,109.78,0.65,2,7.0,1,0
170801,0,4,20,1.76,107212.0,94.91,0.58,2,1.0,1,0
482249,12,7,31,-15.64,1094559.0,132.4,0.33,3,6.0,4,1
582291,15,5,32,-6.31,1030819.0,131.42,0.27,4,6.0,3,1
229538,12,5,35,4.12,941607.0,134.62,0.42,3,8.0,2,1
14968,1,3,43,0.73,97055.0,108.06,0.66,2,6.0,1,0
804080,14,7,26,-3.48,998332.0,127.51,0.27,4,6.0,4,1
597320,11,6,30,-13.72,903170.0,117.28,0.18,4,1.0,2,0
450275,12,6,34,1.81,981507.0,124.64,0.27,3,3.0,3,1
846319,13,8,23,-6.26,947305.0,127.45,0.25,4,5.0,4,1
281677,0,4,20,0.66,121601.0,105.84,0.6,2,4.0,1,1
376747,3,1,20,6.51,74285.0,107.27,0.62,3,5.0,1,0
212392,10,7,26,-17.73,959533.0,129.43,0.28,3,5.0,3,0
763292,2,4,59,0.84,100189.0,102.79,0.62,3,5.0,2,0
790656,12,5,32,-26.03,1017202.0,130.56,0.2,4,5.0,2,1
208740,0,2,21,1.64,74056.0,87.48,0.52,2,3.0,1,0
493253,12,7,34,-8.92,1016639.0,127.92,0.27,4,5.0,3,1
423248,0,3,19,2.21,94479.0,99.58,0.63,2,5.0,1,0
751434,14,7,37,-18.23,1037216.0,122.77,0.17,3,2.0,4,1
953827,14,7,28,-2.6,994742.0,128.6,0.3,3,4.0,4,0
281626,12,5,35,-11.58,1030525.0,124.94,0.29,4,3.0,2,0
952670,0,4,57,2.98,90929.0,112.13,0.71,2,6.0,1,0
219592,0,1,18,2.77,116217.0,83.2,0.47,3,1.0,1,1
676982,13,7,28,8.07,1002328.0,121.98,0.2,3,3.0,4,1
510728,0,3,19,0.25,94535.0,97.6,0.58,3,4.0,1,0
875994,2,4,44,9.89,116412.0,115.73,0.69,3,6.0,2,0
772248,10,6,27,-7.32,1026019.0,117.51,0.17,5,1.0,2,0
658587,11,5,38,8.26,973180.0,126.74,0.22,3,6.0,2,1
472042,1,4,34,1.58,102694.0,101.64,0.65,2,3.0,1,0
668664,0,3,55,3.14,109503.0,107.49,0.69,2,6.0,1,1
707523,0,2,58,19.95,101105.0,111.52,0.76,3,8.0,1,0
177263,10,8,26,-3.38,1023123.0,127.82,0.23,4,4.0,4,1
684150,0,4,19,4.54,122187.0,91.93,0.61,3,3.0,1,0
648226,13,6,29,9.08,1017458.0,130.78,0.31,4,4.0,3,1
351581,0,3,37,1.53,53192.0,100.43,0.68,2,4.0,1,1
669456,2,5,19,4.15,96603.0,88.45,0.44,3,1.0,2,0
92235,13,6,37,24.3,988889.0,124.01,0.29,4,4.0,3,1
11225,13,7,24,6.02,984136.0,123.88,0.26,4,3.0,4,1
209342,0,3,52,1.14,30549.0,110.32,0.72,2,7.0,1,0
282597,11,9,28,-25.53,978347.0,132.44,0.29,3,6.0,5,1
54040,10,6,24,-1.1,1027867.0,124.61,0.25,4,3.0,2,1
505577,0,3,21,8.19,166929.0,96.96,0.55,3,4.0,1,0
63327,2,5,19,0.4,46536.0,116.14,0.54,2,6.0,2,0
10032,12,10,28,-20.58,1001018.0,131.82,0.25,3,6.0,5,1
930604,0,4,18,4.36,186369.0,88.02,0.5,2,1.0,1,0
612158,12,6,24,45.02,912603.0,120.69,0.24,3,3.0,2,1
763179,10,6,29,5.71,927806.0,132.78,0.3,3,6.0,2,1
357624,0,4,58,1.71,123442.0,111.18,0.78,2,6.0,1,0
921015,0,3,20,5.85,97086.0,109.6,0.59,3,5.0,1,0
225961,0,4,21,4.91,83409.0,103.42,0.52,2,5.0,1,0
445533,0,1,39,10.33,185939.0,93.73,0.55,3,2.0,1,1
254907,14,8,37,-1.96,1075160.0,124.95,0.24,4,2.0,5,1
98308,1,3,34,15.81,51515.0,93.94,0.65,2,4.0,1,0
269236,0,4,20,20.29,73768.0,87.24,0.47,2,2.0,1,0
533153,0,1,19,3.25,101168.0,102.3,0.53,3,4.0,1,0
306021,0,4,37,4.8,110225.0,108.93,0.61,3,5.0,1,0
741945,13,5,30,-9.65,870406.0,123.21,0.36,4,4.0,2,1
468034,10,8,23,6.57,1068690.0,122.26,0.19,3,1.0,4,1
42636,9,8,37,-16.35,1019537.0,132.71,0.33,4,6.0,3,1
536855,1,4,22,27.19,92964.0,102.27,0.44,2,4.0,1,1
443389,14,6,29,-13.33,1043430.0,135.8,0.29,4,7.0,3,1
47934,0,2,21,1.5,6404.0,100.76,0.68,2,5.0,1,0
608550,0,3,20,7.64,126540.0,106.29,0.56,3,4.0,1,0
641198,0,4,19,1.93,77812.0,106.42,0.59,2,3.0,1,0
723227,12,7,23,-3.26,1096799.0,130.25,0.22,4,5.0,4,1
336616,0,5,19,2.3,50000.0,95.6,0.51,2,3.0,1,0
239886,1,5,22,5.62,188420.0,107.69,0.5,2,4.0,2,0
396576,11,6,28,-0.09,1012796.0,129.07,0.35,3,5.0,2,1
740742,2,3,21,1.3,226621.0,105.02,0.46,2,3.0,1,0
80695,1,2,21,2.07,164839.0,105.18,0.58,2,4.0,1,0
216830,12,5,29,-1.31,936293.0,125.29,0.26,3,4.0,2,0
837587,13,7,24,5.41,1007221.0,127.99,0.24,4,4.0,4,1
695695,11,7,28,-5.93,916490.0,125.32,0.35,3,4.0,3,1
262752,0,5,44,9.01,164262.0,110.95,0.71,2,6.0,2,0
993356,0,1,37,1.95,168944.0,90.52,0.57,2,1.0,1,0
643415,0,5,50,4.74,50609.0,104.76,0.62,3,5.0,1,0
479127,11,5,32,3.49,1045452.0,133.27,0.25,3,5.0,2,0
58940,0,4,58,0.89,101963.0,102.28,0.7,2,5.0,1,0
40250,2,2,21,9.59,23007.0,99.59,0.62,2,5.0,1,0
725603,2,5,38,7.01,218801.0,106.97,0.57,2,3.0,2,1
126719,0,5,22,1.23,113165.0,97.93,0.45,2,1.0,2,0
604821,0,5,22,1.93,57446.0,91.49,0.5,2,1.0,1,0
122751,2,4,38,1.59,84924.0,98.03,0.64,2,3.0,1,0
777221,11,8,25,5.37,1015717.0,136.35,0.3,2,8.0,4,1
674606,0,4,20,14.39,195036.0,117.04,0.59,2,6.0,1,0
401997,1,2,21,12.75,121117.0,102.49,0.57,3,4.0,1,0
392471,14,7,30,-24.54,1013459.0,123.24,0.31,4,4.0,4,1
663909,12,7,34,-6.94,948408.0,132.93,0.32,3,7.0,3,1
515838,1,1,21,0.68,95412.0,78.36,0.51,2,0.0,1,1
714542,14,6,33,0.71,1010007.0,130.63,0.28,4,4.0,3,1
714320,2,2,21,2.5,108466.0,95.57,0.62,1,3.0,1,0
121698,10,6,23,-11.56,1002118.0,130.89,0.33,4,5.0,2,0
229941,13,9,33,4.31,964664.0,134.81,0.41,3,7.0,5,0
435908,1,3,20,1.43,124016.0,111.09,0.64,3,5.0,1,0
988333,0,5,50,9.7,226643.0,122.23,0.72,2,8.0,2,0
595900,4,4,20,8.57,106401.0,104.31,0.6,2,4.0,2,0
88457,14,7,31,-12.33,965262.0,130.81,0.3,4,4.0,4,0
289250,12,7,27,-19.39,957502.0,125.73,0.23,3,3.0,3,1
896701,1,2,50,12.25,61589.0,100.68,0.64,3,4.0,1,1
67917,13,9,31,-18.62,1032350.0,123.66,0.24,4,2.0,5,1
625251,2,4,18,0.61,219807.0,105.92,0.49,3,4.0,2,0
720918,2,5,56,3.2,108388.0,116.55,0.76,2,8.0,2,0
224933,12,6,34,-0.63,974470.0,120.6,0.28,4,2.0,2,0
665791,2,4,20,7.59,106668.0,113.85,0.71,2,6.0,2,0
483463,0,3,58,10.62,50000.0,122.89,0.83,2,10.0,1,0
898543,0,2,52,1.33,165312.0,105.23,0.72,2,6.0,1,0
916316,0,3,21,11.32,120598.0,117.18,0.67,2,6.0,1,0
914428,14,7,26,-4.48,1109642.0,132.3,0.19,4,5.0,5,1
377486,0,2,41,6.24,59723.0,105.62,0.7,2,6.0,1,0
802303,12,8,27,-0.8,993461.0,134.88,0.33,4,6.0,4,1
873984,14,6,30,-4.84,1045356.0,121.5,0.22,3,2.0,3,0
998628,11,6,29,-8.32,954185.0,133.75,0.46,4,7.0,2,0
392521,13,7,23,-2.06,924776.0,125.14,0.22,4,2.0,3,1
525366,3,2,42,1.27,70259.0,116.22,0.74,2,8.0,1,0
393755,11,7,26,11.85,882160.0,128.38,0.32,3,5.0,2,1
908296,13,7,30,7.51,1036586.0,126.0,0.25,4,4.0,4,1
581829,14,9,32,-5.95,1003607.0,129.51,0.26,4,4.0,5,1
657858,12,6,29,22.09,991828.0,124.58,0.26,4,4.0,3,1
377152,12,8,31,-15.4,1033515.0,125.1,0.25,4,2.0,4,1
814500,13,8,37,-9.51,955930.0,135.27,0.33,4,7.0,4,1
676750,10,6,28,-9.59,950112.0,118.21,0.19,4,2.0,2,0
703941,13,9,29,-17.1,948338.0,129.2,0.34,3,5.0,5,1
711637,1,4,22,0.94,100948.0,101.39,0.62,3,4.0,1,0
504524,1,4,18,0.76,37302.0,88.65,0.5,2,1.0,1,0
437534,10,6,27,1.44,946892.0,112.63,0.21,3,0.0,2,1
210554,11,8,24,-9.88,1038347.0,127.22,0.14,4,3.0,4,1
765112,12,8,25,-24.42,1049721.0,137.75,0.29,4,8.0,4,1
228028,1,3,19,4.98,144081.0,87.93,0.41,2,2.0,1,0
984342,0,3,20,1.22,51056.0,98.09,0.59,2,3.0,1,1
741108,2,3,20,4.27,70168.0,101.55,0.57,2,3.0,1,1
190657,3,4,20,7.1,153952.0,83.12,0.42,2,0.0,2,0
497455,13,8,28,1.13,1060064.0,128.61,0.23,3,4.0,5,1
260410,0,5,37,1.53,38232.0,102.97,0.64,2,4.0,1,0
392709,1,4,22,8.42,136601.0,90.71,0.49,2,2.0,1,0
